source,target,environment,n_cells,var_x,cov_xy,slope,corr_xy,references,n_references
AKR1B1,ITPR2,kidney,8000,0.5928999185562134,-0.07675503939390182,-0.1294569909552528,-0.15064029952096838,dorothea,1
AKR1B1,ITPR2,lung,15000,0.4415305256843567,0.10020538419485092,0.22695007109539284,0.20911824043282284,dorothea,1
AKR1B1,ITPR2,immune,15000,0.3342144787311554,0.017702702432870865,0.052968089533640614,0.035729273469586244,dorothea,1
AKR1B1,ITPR2,external_lung,9000,0.6253558993339539,0.0008457562071271241,0.0013524397995252166,0.00189567866050252,dorothea,1
APEX1,SLC5A5,kidney,8000,0.5927214026451111,-0.0015998181188479066,-0.0026991063789977387,-0.031220959825600865,trrust,1
APEX1,SLC5A5,lung,15000,0.4095225930213928,0.0004747007042169571,0.0011591563256979072,0.009909497203498352,trrust,1
APEX1,SLC5A5,immune,15000,0.4372599720954895,1.125189464801224e-05,2.5732734222365622e-05,0.0001757361560583898,trrust,1
APEX1,SLC5A5,external_lung,9000,0.7330886721611023,0.02333397977054119,0.031829682624550715,0.09695841038809166,trrust,1
ATF3,LDLR,kidney,8000,0.07284928858280182,0.006674542557448149,0.09162124555082982,0.13016447676699938,"dorothea,trrust",2
ATF3,LDLR,lung,15000,0.6398918628692627,0.1250012218952179,0.19534741594417976,0.1894026530299678,"dorothea,trrust",2
ATF3,LDLR,immune,15000,0.41011279821395874,0.05429350584745407,0.13238676306592306,0.14451818359151086,"dorothea,trrust",2
ATF3,LDLR,external_lung,9000,0.7168155908584595,0.1603371798992157,0.22367981659996491,0.2235887347105065,"dorothea,trrust",2
CEBPA,DAPK1,kidney,8000,0.05134294182062149,0.007425785064697266,0.1446310788080857,0.08082480191316264,dorothea,1
CEBPA,DAPK1,lung,15000,0.24593544006347656,0.09326737374067307,0.37923519162834163,0.25789598154779064,dorothea,1
CEBPA,DAPK1,immune,15000,0.1015562191605568,0.0384240560233593,0.3783525651207261,0.20371562249406372,dorothea,1
CEBPA,DAPK1,external_lung,9000,0.048536885529756546,0.013267560862004757,0.2733500659796312,0.10516529871215662,dorothea,1
CEBPA,HNF4A,kidney,8000,0.05134294182062149,0.0006469133077189326,0.012599848874633533,0.003873274998216075,dorothea,1
CEBPA,HNF4A,lung,15000,0.24593544006347656,-0.0005412630271166563,-0.0022008337918965845,-0.017541346160270036,dorothea,1
CEBPA,HNF4A,immune,15000,0.1015562191605568,-0.00012950942618772388,-0.001275248598837399,-0.006614334097501884,dorothea,1
CEBPA,HNF4A,external_lung,9000,0.048536885529756546,0.00010936486069113016,0.002253231938915441,0.004903577748709614,dorothea,1
CEBPA,VLDLR,kidney,8000,0.05134294182062149,-0.0009550778777338564,-0.01860193132428296,-0.0187003686540784,"dorothea,trrust",2
CEBPA,VLDLR,lung,15000,0.24593544006347656,-0.0033288849517703056,-0.01353560491692906,-0.027011198457279915,"dorothea,trrust",2
CEBPA,VLDLR,immune,15000,0.1015562191605568,-0.00022783879830967635,-0.00224347460148621,-0.007246353303247261,"dorothea,trrust",2
CEBPA,VLDLR,external_lung,9000,0.048536885529756546,0.001741924905218184,0.03588868313666852,0.02750550174441249,"dorothea,trrust",2
CEBPB,GFER,kidney,8000,0.3719763159751892,0.0015178814064711332,0.004080586159072493,0.004938132748293805,"dorothea,trrust",2
