source,target,references,n_references,n_env,beta_hat,c_hat,rmse,r2,max_abs_residual,varx_ratio,pairwise_beta_mean,pairwise_beta_sd,diagnostic_pass
RUNX1,SLC22A4,trrust,1,4,0.04944755448990525,-0.00938682235463191,0.030370963914961826,0.052101267429033093,0.04553461066929302,2.4476423463804906,-0.10801117906439905,0.4275979972458644,0
EZH2,RPLP0,trrust,1,4,0.024230848435218152,-0.007349336179044179,0.10089861105784709,0.04523259525283452,0.1616702296524437,3.4447988278761836,-0.2268683974066382,0.8792602805966256,0
PRDM14,TP53I11,dorothea,1,4,-0.09979442012327717,7.442242289950326e-05,0.07026067013564888,0.041818568437113623,0.0842474362840517,1.7363503585507287,0.3451600927174006,1.837721331924952,0
EZH2,ADAMTS1,trrust,1,4,0.002199181703671333,-0.0013188260275409458,0.02015462124712795,0.03682632746666614,0.028458794056911138,3.4447988278761836,0.01790182159621684,0.13323246702309732,0
MITF,TSC22D2,dorothea,1,4,0.18613216853980763,-0.013982320275591525,0.11471512184450312,0.030113200542441487,0.15046988775638168,3.269119700237117,0.3694025280421754,0.5993028269441876,0
HIPK2,NOX1,trrust,1,4,-0.0013566759760264414,0.0014104793637905245,0.001975234103591946,0.028939261280463313,0.0032943688096909113,1.5306997619422873,-0.004723787161209431,0.032183228433572846,0
CEBPB,GFER,"dorothea,trrust",2,4,0.024170636554199453,-0.006506502796525369,0.025884145947330787,0.02181042666271671,0.04153024955429993,2.392312466159792,-0.004432094637187419,0.1708210103722535,0
ETS1,PRL,"dorothea,trrust",2,4,-0.0007627829457862917,4.7358463315241874e-05,0.00042369405601209954,0.01687945603852592,0.0007305966049000555,3.998543916478504,-0.00189457339004857,0.0026575407171297396,0
JUND,ERBB2,trrust,1,4,0.02351730183220966,-0.006314831002895526,0.02360027712509595,0.015413939883249461,0.04062343599231553,1.9507070828511746,-0.12595132056645617,0.32862147078175785,0
SP3,CHRNB4,"dorothea,trrust",2,4,0.000284675884456165,9.294146436734577e-05,0.0006198600161713795,0.015253291612852715,0.0006697239804694716,2.467204725250142,0.0010752837035833162,0.0034053495348614713,0
MEIS2,IL17RB,trrust,1,4,-0.024360370960308703,-0.0004454135919821919,0.037360748529695356,0.014503692086436648,0.048680463322277726,8.349897863955025,-0.14031712230361523,0.2722969495088262,0
MITF,ARSG,dorothea,1,4,0.023432577543315517,-0.0020584101430743944,0.03056305378769569,0.009390560498868439,0.040611922204549664,3.269119700237117,0.0022450654846362015,0.1405945867888914,0
E2F1,CHEK2,trrust,1,4,0.12134816839470322,-0.00041407778139474383,0.048267846817174866,0.008496745708921116,0.06340732000892267,1.9401601330441567,-0.05845772196360318,0.4567468537743635,0
MYC,SHMT1,"dorothea,trrust",2,4,0.037182747305889684,0.003978226239987323,0.027230384463191728,0.007965545637037774,0.037863867428216916,1.810456043153196,0.27888114010351156,0.47331863491762854,0
E2F4,SRSF8,dorothea,1,4,0.04326478998099356,-0.0008083615982324759,0.011653796031033076,0.007635223043857886,0.01651850143280924,2.368807441377335,0.12749459096054558,0.19416130059237513,0
EGR1,MMP14,"dorothea,trrust",2,4,0.020068149781870263,-0.00016005429962108927,0.017983285914995286,0.0050353913379125315,0.02936184863831673,17.810872640582346,-0.042395569417402024,0.0796293312105845,0
GATA3,RBMS1,dorothea,1,4,0.1363361345442438,-0.0009893194802931173,0.16617940984299415,0.002227701452561126,0.25942996952471065,6.54443473742816,0.20455447588372896,0.43152459382643454,0
STAT3,TYK2,trrust,1,4,0.017012050203404454,-0.0004206999787635574,0.0054881372811443774,0.0008752823401168008,0.007776933147221946,1.672217771695088,0.4920785878995149,1.1769039338697462,0
HIF1A,XXYLT1,dorothea,1,4,0.005246151910780116,-0.0009677081763259591,0.010131541196732102,0.0006373680440667773,0.01711309401103361,1.5255905778372452,0.16328557469389657,0.4691199653835342,0
