row_var,col_var,analytic_diff,sample_diff
X,X,0.0,-8.58802688865623e-05
X,Y,0.0,0.0036707915814377934
X,R,0.0,-0.007580110910102578
Y,X,0.0,0.0036707915814377934
Y,Y,0.0,0.00924283304418072
Y,R,0.0,-0.010661917630942597
R,X,0.0,-0.007580110910102578
R,Y,0.0,-0.010661917630942597
R,R,0.0,-0.026389786405672577
