source,target,n_env,beta_hat,c_hat,rmse,r2,varx_ratio,pairwise_beta_sd,beta_hat_full,beta_hat_loo_mean,beta_hat_loo_sd,beta_hat_loo_min,beta_hat_loo_max,beta_hat_loo_range,diagnostic_pass
DDIT3,TNFRSF10B,4,0.17112174705991567,-0.043778346459306075,0.013876807373207178,0.6644081640103418,1.4798491319416176,0.15268271668335368,0.17112174705991567,0.16704271799832743,0.09345130291792862,0.0619774063510393,0.2881100782462878,0.22613267189524852,1
E2F1,CHEK2,4,0.12134816839470323,-0.00041407778139474334,0.048267846817174866,0.008496745708921116,1.940160133044153,0.45674685377436386,0.12134816839470323,0.07118621190905185,0.2029452097965011,-0.2218998996215918,0.23242027830278897,0.45432017792438073,0
E2F4,EIF2B2,4,0.05478461773348181,-0.007555342435891509,0.005945350400682397,0.7208592614920282,2.3688074413773346,0.11154398922833883,0.05478461773348181,0.05398779065865872,0.00582409437768443,0.046516487904630525,0.06037366200640596,0.013857174101775435,1
E2F4,SRSF8,4,0.04326478998099347,-0.0008083615982324661,0.011653796031033092,0.007635223043857109,2.3688074413773346,0.19416130059237566,0.04326478998099347,0.055064768038056836,0.03610497108198191,0.023510740716351595,0.10649488988524368,0.08298414916889209,0
EGR1,ARHGAP45,4,-0.10848735621214678,0.01924295257873812,0.0806574596786835,0.7843199720617298,17.810872640582378,0.8011934944403056,-0.10848735621214678,-0.16231424058402344,0.11896666715884646,-0.3243503985809882,-0.038239838624001585,0.2861105599569866,0
EGR1,DNM1,4,0.02878251187493895,-0.0021931820431979536,0.02548635491863539,0.321164461855748,17.810872640582378,0.11827104611989755,0.02878251187493895,-0.020554232491505113,0.10024138792441634,-0.16910191029105856,0.04063307363382887,0.20973498392488743,0
EGR1,MMP14,4,0.020068149781870197,-0.00016005429962109098,0.017983285914995286,0.0050353913379127535,17.810872640582378,0.07962933121058452,0.020068149781870197,-0.01548162170179175,0.07219627078924645,-0.12251892753704602,0.029584988575647658,0.15210391611269367,0
EGR1,SYN2,4,0.0038893750954346732,0.00029789889662798735,0.001616038267445694,0.6846439021748796,17.810872640582378,0.008195925737690749,0.0038893750954346732,0.0008717236218900682,0.0061365010208941015,-0.00821402424776214,0.004679221619328651,0.01289324586709079,1
EGR1,ZFPM1,4,-0.01621405117061645,0.0008910573537422933,0.007483519579833601,0.47528379030166756,17.810872640582378,0.06730321322590609,-0.01621405117061645,-0.005561956577795318,0.02189073146128673,-0.02286745559099453,0.026513436774410877,0.04938089236540541,0
ESR1,SMOX,4,0.031593281163125375,-0.0013567025660631764,0.004885730311793484,0.8428884563493597,5.565358216745276,0.01759902053679581,0.031593281163125375,0.030136632773466513,0.0066457512709221294,0.02306010304013098,0.039074032324261286,0.016013929284130306,1
ETS1,PRL,4,-0.0007627829457862439,4.735846331522884e-05,0.0004236940560120874,0.016879456038517704,3.998543916478504,0.0026575407171297214,-0.0007627829457862439,-0.000982994427840897,0.0007592124115725823,-0.001998443102212146,-0.00023809839943706687,0.0017603447027750789,0
ETS1,ST3GAL1,4,0.24195897757305207,-0.07462714855390329,0.07862520781441243,0.5531785381061107,3.998543916478504,0.3118191596769395,0.24195897757305207,0.19327351841025334,0.18306069893470914,-0.046229575425020805,0.39751449199016975,0.44374406741519057,0
ETV4,CCND2,4,0.1510143188048724,-0.0007222083161039332,0.04547337678623995,0.3057663921419568,3.723605399562383,0.18475293726412542,0.1510143188048724,0.16334151875685876,0.05293701693703031,0.09487075198414474,0.21347727795883414,0.1186065259746894,0
EZH2,ADAMTS1,4,0.0021991817036712317,-0.0013188260275409324,0.020154621247127916,0.0368263274666657,3.4447988278761854,0.13323246702309696,0.0021991817036712317,-0.01045373220039414,0.03696225543882653,-0.06360237773645401,0.019388952779284544,0.08299133051573855,0
EZH2,RPLP0,4,0.024230848435218274,-0.007349336179044194,0.10089861105784706,0.04523259525283452,3.4447988278761854,0.8792602805966248,0.024230848435218274,0.027166810410414757,0.08232143336639308,-0.02387634428003015,0.1497211922697912,0.17359753654982135,0
FOS,CEP112,4,0.032452719256747406,-0.02517883770778276,0.004447597913315981,0.8775615948559057,2.0820723255767883,0.19842090551719674,0.032452719256747406,0.03271029608388259,0.010136733927417478,0.020286884611842727,0.04507865742300608,0.024791772811163355,1
FOS,PARD3B,4,0.10214889492053003,-0.08601101629505967,0.030178062350767157,0.6449650526743518,2.0820723255767883,0.37411939524969606,0.10214889492053003,0.09568380078278453,0.045546466258087594,0.0300760804647194,0.12830479287037577,0.09822871240565637,0
GATA2,FRY,4,0.11965829334282925,0.001503593857758627,0.07914304728573664,0.7772924285724524,46.78515475106114,0.37841479398585115,0.11965829334282925,0.1354542353013456,0.059832881595804126,0.04883701950486481,0.18560009556534363,0.13676307606047883,0
GATA2,NR3C2,4,-0.08814682958162366,0.004574929248311995,0.06224671712771657,0.9812148636267162,46.78515475106114,0.11547416315631104,-0.08814682958162366,-0.06445121130747054,0.0617257313070275,-0.126365139585033,0.01065182525590692,0.13701696484093992,1
GATA3,RBMS1,4,0.1363361345442438,-0.0009893194802931098,0.16617940984299412,0.002227701452561126,6.544434737428161,0.4315245938264345,0.1363361345442438,0.0953164603085391,0.15707065069453569,-0.09095151792190573,0.29141795301368206,0.3823694709355878,0
HIF1A,ITGB2,4,0.30482034393271984,-0.1499295285891363,0.10817395203181407,0.11839476639929447,1.5255905778372452,16.8036181769098,0.30482034393271984,0.09479518580673411,0.6141687633620748,-0.7941826146561289,0.5730559638104656,1.3672385784665946,0
HIF1A,XXYLT1,4,0.005246151910780014,-0.0009677081763259329,0.010131541196732067,0.0006373680440665552,1.5255905778372452,0.469119965383535,0.005246151910780014,-0.02028593959662437,0.0727085620617456,-0.12913302022239187,0.0194771470335067,0.14861016725589857,0
HIPK2,NOX1,4,-0.0013566759760265917,0.0014104793637906255,0.0019752341035919247,0.028939261280467754,1.5306997619422873,0.03218322843357246,-0.0013566759760265917,-0.0018077222532385823,0.005102710005667192,-0.00935378307085987,0.0018338822058864513,0.01118766527674632,0
HNF4A,ZBTB16,4,-0.16186951974569755,0.0010403232259759661,0.07191690887081408,0.7214213548181154,143.9239086001267,1.8470940631090043,-0.16186951974569755,-0.18660178388321166,0.09833714262562414,-0.3271949207828155,-0.0988302843434098,0.2283646364394057,0
JUN,STMN1,4,0.11722792100220074,-0.06734460864212052,0.015239010207261894,0.8359449979831862,2.2925606448345617,0.14206199443271023,0.11722792100220074,0.11494290531847456,0.021932443336402006,0.08319185780407856,0.13076181419399366,0.0475699563899151,1
JUND,ERBB2,4,0.023517301832209507,-0.006314831002895447,0.023600277125095936,0.015413939883249572,1.9507070828511746,0.3286214707817581,0.023517301832209507,-0.0062759602099037755,0.09345685409469465,-0.13865636733269868,0.0775161028595481,0.21617247019224678,0
KAT2B,SMAD4,4,0.021796258442005535,-0.002707217380813162,0.006984546384767642,0.2792189437548036,3.4161960252038717,0.032655744531261716,0.021796258442005535,0.02381435673057534,0.007636066258667675,0.016890602297806704,0.03459463861017785,0.017704036312371146,0
LMX1B,COL4A4,4,-0.1283237659982861,0.0006324917640157321,0.07910492443959763,0.6694122092798703,3.927375338736714,1.9043421786006383,-0.1283237659982861,-0.0758653137076348,0.18857989118577945,-0.2873376667760188,0.16903070038860205,0.4563683671646208,0
MEIS2,IL17RB,4,-0.02436037096030877,-0.00044541359198218823,0.037360748529695315,0.014503692086436315,8.349897863955038,0.2722969495088253,-0.02436037096030877,-0.020891174189219618,0.030314252723391538,-0.05844994457038703,0.013170567393836576,0.07162051196422362,0
MEN1,RAD51AP1,4,-0.000887180498367028,0.000884617526091328,0.005573292246352592,0.35047004798747206,3.089375524162563,0.16732502692644954,-0.000887180498367028,-0.0012156209144384591,0.002774558564722834,-0.004485868321101283,0.002184835609319748,0.006670703930421031,0
MITF,AFF3,4,-0.2510420854056985,0.025723694894212275,0.0643031183459787,0.250623339129455,3.269119700237117,0.29285504052577527,-0.2510420854056985,-0.22878066921551973,0.10752624252901191,-0.34374877465896725,-0.08679661068346116,0.2569521639755061,0
MITF,ARSG,4,0.023432577543315555,-0.002058410143074396,0.03056305378769566,0.009390560498868217,3.269119700237117,0.14059458678889133,0.023432577543315555,0.01561151038347144,0.06391061828883746,-0.07593236023318413,0.0628762991315931,0.1388086593647772,0
MITF,TSC22D2,4,0.18613216853980763,-0.013982320275591514,0.11471512184450314,0.030113200542441487,3.269119700237117,0.5993028269441885,0.18613216853980763,0.14942235368813134,0.16157832475241085,-0.043892405489462036,0.3322737948875802,0.37616620037704224,0
MYB,ANPEP,4,-0.0005746949133599565,-0.0016753172728663857,0.04754503700270977,0.8353782056672304,12.774925570401427,0.19328188936617383,-0.0005746949133599565,-0.06445542905768441,0.13352591370884473,-0.2589288797897732,0.045284247811523466,0.30421312760129665,1
MYC,CCKBR,4,-0.000927646533511191,0.00018110239440388313,0.0004490560660520674,0.05765970013545774,1.8104560431531962,0.003928630622604976,-0.000927646533511191,0.0004311350826310752,0.003385715082322937,-0.0015142967688150874,0.005501911832264728,0.007016208601079815,0
MYC,MELTF,4,0.06002016854501648,-0.01674692446152423,0.008732728134394468,0.5804536549259282,1.8104560431531962,0.07775504398414582,0.06002016854501648,0.08615482515672987,0.06487436159677579,0.050043077923517996,0.1833821734812054,0.1333390955576874,1
MYC,SHMT1,4,0.037182747305889725,0.003978226239987278,0.02723038446319172,0.007965545637037552,1.8104560431531962,0.4733186349176262,0.037182747305889725,0.10329210351339162,0.1738570997874764,-0.028689327550807244,0.35867207854032257,0.3873614060911298,0
NFKB1,NOX5,4,1.2982252360551998e-05,-0.0003309428932571728,0.00039394685603316796,0.14239481787830577,2.2227710544390544,0.004453757339702164,1.2982252360551998e-05,-0.000813630365945274,0.002358270801038684,-0.004280879910889434,0.0010023165679339731,0.005283196478823407,0
NFKB2,CXCL8,4,0.3721930989702101,-0.027831885953708148,0.022942780004740686,0.9524620760316095,4.223125354496775,0.07343236218881848,0.3721930989702101,0.36570422712802003,0.030852999505225732,0.3243721140603029,0.3986183123872961,0.0742461983269932,1
NR2F2,RFTN1,4,-0.006751408193119328,0.0006068421823095626,0.10432287073660036,0.07836093077492079,68.48060187504822,0.6808345222540466,-0.006751408193119328,-0.016033088534730046,0.06478110638311395,-0.08658236328624684,0.06466212361503608,0.15124448690128292,0
PRDM14,TP53I11,4,-0.099794420123271,7.442242289949438e-05,0.07026067013564911,0.04181856843710641,1.7363503585507436,1.8377213319245531,-0.099794420123271,-0.08448629224648457,0.19710299053120753,-0.25921837443130025,0.16956002784418897,0.42877840227548925,0
RELA,CXCL8,4,0.14050339054393263,-0.03117341469831596,0.003682238352753354,0.9890830687806318,2.5277100288781416,0.026892003009378142,0.14050339054393263,0.14503359927256665,0.012446484314115719,0.1376720641382791,0.16366263046283233,0.025990566324553238,1
RELA,SLC9A2,4,0.0022740298928851004,-0.0011022764552515616,0.0010535625157423424,0.580487336256051,2.5277100288781416,0.00908672569603483,0.0022740298928851004,0.0013543860719551454,0.0033155471234130322,-0.0033378669251673734,0.004428080760434858,0.007765947685602232,1
RFXANK,HLA-DRB5,4,-0.15942972333253647,0.04127551615700071,0.028956648871026752,0.6871934049878166,1.7298866664398205,0.9356306740958655,-0.15942972333253647,-0.15680274244230846,0.05066513612327501,-0.21023186931887924,-0.08840528899954969,0.12182658031932955,0
RUNX1,SLC22A4,4,0.04944755448990526,-0.009386822354631915,0.03037096391496182,0.052101267429033205,2.4476423463804906,0.42759799724586434,0.04944755448990526,0.051265889328309444,0.03501434298981595,0.023569288717746825,0.10080769754001796,0.07723840882227113,0
SIRT1,EGLN1,4,-0.030206004825307886,0.007231593367033887,0.00552590143440069,0.6497235135065911,2.0370468440914173,0.14651941304588786,-0.030206004825307886,0.014152856885234778,0.09104569776078512,-0.03329362681504894,0.15068476980161966,0.1839783966166686,1
SP1,CREB1,4,-0.06019838482143546,0.028341301188800645,0.006783695949735999,0.8333649390738033,1.4989209754771469,0.09723146389298358,-0.06019838482143546,-0.09852716759376773,0.08895483949058527,-0.22926781029849677,-0.02981411296130756,0.1994536973371892,1
SP1,DDB2,4,-0.07764570131031698,0.02677343795735016,0.010404824545804683,0.65483273494789,1.4989209754771469,0.7789159339784353,-0.07764570131031698,-0.04490900962317393,0.07818825059708275,-0.10870027916311947,0.06776391353327771,0.17646419269639718,0
SP1,MAOB,4,0.06086679448304275,-0.018171890533499935,0.0182781468827985,0.22070010266343665,1.4989209754771469,1.3102238375227566,0.06086679448304275,-0.01248702420127222,0.16930513819881304,-0.2611431100207863,0.11113129526803084,0.3722744052888171,0
SP3,CHRNB4,4,0.00028467588445623196,9.294146436732002e-05,0.0006198600161713504,0.01525329161284561,2.4672047252501423,0.0034053495348613213,0.00028467588445623196,0.0005173856590287299,0.0019173591234145668,-0.0013404372599914826,0.003177906222985587,0.004518343482977069,0
SP3,F2R,4,-0.046742828562038284,0.02288608585663568,0.014275706936795902,0.6390857255312241,2.4672047252501423,0.09935187972312162,-0.046742828562038284,-0.0440344397489674,0.02014789011152262,-0.0574331610839611,-0.014048803015646384,0.04338435806831471,1
SPI1,CUX2,4,0.0065373134426766595,-0.0009235143804939022,0.002708049252017527,0.75713630269243,9.47439719550813,0.013638775319291795,0.0065373134426766595,0.0064435129939209084,0.0014088596594193676,0.005334602276387015,0.008439108761618939,0.003104506485231924,1
