source,target,beta_hat_full,beta_hat_loo_mean,beta_hat_loo_sd,beta_hat_loo_min,beta_hat_loo_max,beta_hat_loo_range
PRDM14,TP53I11,-0.099794420123271,-0.08448629224648457,0.19710299053120753,-0.25921837443130025,0.16956002784418897,0.42877840227548925
RELA,CXCL8,0.14050339054393263,0.14503359927256665,0.012446484314115719,0.1376720641382791,0.16366263046283233,0.025990566324553238
RELA,SLC9A2,0.0022740298928851004,0.0013543860719551454,0.0033155471234130322,-0.0033378669251673734,0.004428080760434858,0.007765947685602232
RFXANK,HLA-DRB5,-0.15942972333253647,-0.15680274244230846,0.05066513612327501,-0.21023186931887924,-0.08840528899954969,0.12182658031932955
RUNX1,SLC22A4,0.04944755448990526,0.051265889328309444,0.03501434298981595,0.023569288717746825,0.10080769754001796,0.07723840882227113
SIRT1,EGLN1,-0.030206004825307886,0.014152856885234778,0.09104569776078512,-0.03329362681504894,0.15068476980161966,0.1839783966166686
SP1,CREB1,-0.06019838482143546,-0.09852716759376773,0.08895483949058527,-0.22926781029849677,-0.02981411296130756,0.1994536973371892
SP1,DDB2,-0.07764570131031698,-0.04490900962317393,0.07818825059708275,-0.10870027916311947,0.06776391353327771,0.17646419269639718
SP1,MAOB,0.06086679448304275,-0.01248702420127222,0.16930513819881304,-0.2611431100207863,0.11113129526803084,0.3722744052888171
SP3,CHRNB4,0.00028467588445623196,0.0005173856590287299,0.0019173591234145668,-0.0013404372599914826,0.003177906222985587,0.004518343482977069
SP3,F2R,-0.046742828562038284,-0.0440344397489674,0.02014789011152262,-0.0574331610839611,-0.014048803015646384,0.04338435806831471
SPI1,CUX2,0.0065373134426766595,0.0064435129939209084,0.0014088596594193676,0.005334602276387015,0.008439108761618939,0.003104506485231924
SPI1,GALNT2,-0.054178144066093184,-0.052022276876329314,0.07180117810442879,-0.15421416917483807,0.0024428971356325133,0.15665706631047058
SREBF2,ABCG8,-0.004825972421598795,-0.002448803887282039,0.006028077950350474,-0.008107777972163457,0.006086541737558293,0.01419431970972175
STAT1,CDC7,0.020326541752308185,0.023310866838276517,0.01105266571150451,0.014101847606139424,0.03893351606690714,0.024831668460767717
STAT1,VSIR,-0.08310913621468992,-0.09847739031829794,0.12969080285729045,-0.2654101815649365,0.0459268510678257,0.3113370326327622
STAT3,EPAS1,-0.02157034610322363,0.004605177323104052,0.1516005786561957,-0.1246158638226253,0.21439105672972147,0.33900692055234677
STAT3,JUNB,0.23566317117749494,0.2082112954222816,0.1499664899835405,-0.013767794142658281,0.3032528450944244,0.3170206392370827
STAT3,TYK2,0.017012050203404315,0.017650391357501176,0.016059285030585423,-0.00319706655233727,0.03491865522115355,0.03811572177349082
TP53,KCNMA1,-0.02910791579354929,-0.03790489684786756,0.044815480157869805,-0.10342449048996066,-0.0029133067807272997,0.10051118370923337
TP53,SEC14L2,0.026009125604540672,0.023723180469235626,0.009538642694649569,0.010126623615521798,0.032404347614673326,0.022277723999151528
TP53,USP9X,0.06843807187104387,0.06674517449242255,0.009031614172420864,0.05352024933526994,0.07355295473628283,0.020032705401012887
VDR,CD14,0.2644356648467137,0.19161690076761942,0.536808214654039,-0.5590542375624946,0.7150535226948045,1.2741077602572992
ZBTB33,RBM15,0.02415017642872032,0.024947517627034718,0.002124543400031684,0.022571808799692613,0.027514852683106168,0.004943043883413555
ZNF263,CASZ1,-0.0033397643972613764,-0.003600336605687801,0.02061900290023596,-0.030505558201993778,0.019576007873536104,0.05008156607552988
ZNF263,SSBP3,-0.030611241609576966,-0.03274690579522794,0.012154097372091732,-0.04705071140705047,-0.01882066700940596,0.02823004439764451
