source,target,n_env,beta_hat,c_hat,rmse,r2,varx_ratio,pairwise_beta_sd
AKR1B1,ITPR2,4,-0.189596430715023,0.10654760123706565,0.11317845904984297,0.21548569650682592,1.8711215076860712,1.2591591688344377
APEX1,SLC5A5,4,0.05117707454176562,-0.022415354160539833,0.010077655819946421,0.48707586936210745,1.7901055635355554,0.07665667248388736
ATF3,LDLR,4,0.1997924557433797,-0.008164690956169004,0.029936940489979726,0.6662245890250243,9.839706122094988,0.11247665994248739
CEBPA,DAPK1,4,0.44795616997158705,-0.011413701371471262,0.056033587670902926,0.6616437963951809,5.066980243565503,1.0425107748391207
CEBPA,HNF4A,4,-0.005515505710848826,0.0006193256376580511,0.00405077771331272,0.5241900443703794,5.066980243565503,0.08097140832420807
CEBPA,VLDLR,4,-0.019644511552572817,0.001483271244247635,0.018754656928218375,0.227675649632187,5.066980243565503,0.38607658696154956
CEBPB,GFER,4,0.024170636554199522,-0.006506502796525425,0.025884145947330742,0.021810426662717264,2.392312466159792,0.1708210103722532
CREB1,XPC,4,0.04581907233474733,-0.007472745938664405,0.012914474353515155,0.10045210136193217,1.8748033533276036,1.152124621833257
CTCF,CACNA1D,4,0.014156907088562182,-0.004494969430356401,0.008636225798749255,0.06157006411330168,1.6439880457168061,0.0701551741143826
CTCF,MAP4K4,4,-0.16210598597374554,0.09044121572892157,0.03863435412017347,0.5703054720803704,1.6439880457168061,0.33476746579825273
DDIT3,TNFRSF10B,4,0.17112174705991567,-0.043778346459306075,0.013876807373207178,0.6644081640103418,1.4798491319416176,0.15268271668335368
E2F1,CHEK2,4,0.12134816839470323,-0.00041407778139474334,0.048267846817174866,0.008496745708921116,1.940160133044153,0.45674685377436386
E2F4,EIF2B2,4,0.05478461773348181,-0.007555342435891509,0.005945350400682397,0.7208592614920282,2.3688074413773346,0.11154398922833883
E2F4,SRSF8,4,0.04326478998099347,-0.0008083615982324661,0.011653796031033092,0.007635223043857109,2.3688074413773346,0.19416130059237566
EGR1,ARHGAP45,4,-0.10848735621214678,0.01924295257873812,0.0806574596786835,0.7843199720617298,17.810872640582378,0.8011934944403056
EGR1,DNM1,4,0.02878251187493895,-0.0021931820431979536,0.02548635491863539,0.321164461855748,17.810872640582378,0.11827104611989755
EGR1,MMP14,4,0.020068149781870197,-0.00016005429962109098,0.017983285914995286,0.0050353913379127535,17.810872640582378,0.07962933121058452
EGR1,SYN2,4,0.0038893750954346732,0.00029789889662798735,0.001616038267445694,0.6846439021748796,17.810872640582378,0.008195925737690749
EGR1,ZFPM1,4,-0.01621405117061645,0.0008910573537422933,0.007483519579833601,0.47528379030166756,17.810872640582378,0.06730321322590609
ESR1,SMOX,4,0.031593281163125375,-0.0013567025660631764,0.004885730311793484,0.8428884563493597,5.565358216745276,0.01759902053679581
ETS1,PRL,4,-0.0007627829457862439,4.735846331522884e-05,0.0004236940560120874,0.016879456038517704,3.998543916478504,0.0026575407171297214
ETS1,ST3GAL1,4,0.24195897757305207,-0.07462714855390329,0.07862520781441243,0.5531785381061107,3.998543916478504,0.3118191596769395
ETV4,CCND2,4,0.1510143188048724,-0.0007222083161039332,0.04547337678623995,0.3057663921419568,3.723605399562383,0.18475293726412542
EZH2,ADAMTS1,4,0.0021991817036712317,-0.0013188260275409324,0.020154621247127916,0.0368263274666657,3.4447988278761854,0.13323246702309696
EZH2,RPLP0,4,0.024230848435218274,-0.007349336179044194,0.10089861105784706,0.04523259525283452,3.4447988278761854,0.8792602805966248
FOS,CEP112,4,0.032452719256747406,-0.02517883770778276,0.004447597913315981,0.8775615948559057,2.0820723255767883,0.19842090551719674
FOS,PARD3B,4,0.10214889492053003,-0.08601101629505967,0.030178062350767157,0.6449650526743518,2.0820723255767883,0.37411939524969606
GATA2,FRY,4,0.11965829334282925,0.001503593857758627,0.07914304728573664,0.7772924285724524,46.78515475106114,0.37841479398585115
GATA2,NR3C2,4,-0.08814682958162366,0.004574929248311995,0.06224671712771657,0.9812148636267162,46.78515475106114,0.11547416315631104
GATA3,RBMS1,4,0.1363361345442438,-0.0009893194802931098,0.16617940984299412,0.002227701452561126,6.544434737428161,0.4315245938264345
HIF1A,ITGB2,4,0.30482034393271984,-0.1499295285891363,0.10817395203181407,0.11839476639929447,1.5255905778372452,16.8036181769098
HIF1A,XXYLT1,4,0.005246151910780014,-0.0009677081763259329,0.010131541196732067,0.0006373680440665552,1.5255905778372452,0.469119965383535
HIPK2,NOX1,4,-0.0013566759760265917,0.0014104793637906255,0.0019752341035919247,0.028939261280467754,1.5306997619422873,0.03218322843357246
